"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL"
"Angiostrongylus schmidti",2,"adult",7,2.57142857142857,0.244897959183673,"adult",2
"Angiostrongylus siamensis",1,"1larv",1,1,NA,"larva",2
"Angiostrongylus siamensis",2,"adult",7,2.23809523809524,0.276643990929705,"adult",2
"Angiostrongylus vasorum",1,"1larv",10,3.25,0.6875,"larva",3
"Angiostrongylus vasorum",2,"2larv",2,5,0,"larva",3
"Angiostrongylus vasorum",3,"adult",5,1.9,0.09,"adult",3
"Anguillicola crassus",1,"1larv",10,3.06666666666667,2.10666666666667,"larva",3
"Anguillicola crassus",2,"2larv",19,3.37908496732026,0.862830535264215,"larva",3
"Anguillicola crassus",3,"adult",2,1,0,"adult",3
"Anisakis pegreffii",1,"1larv",1,1,NA,"larva",4
"Anisakis pegreffii",2,"2larv",104,4.05101846563868,0.46037065509401,"larva",4
"Anisakis pegreffii",3,"3larv",27,3.86039886039886,0.245468786779328,"larva",4
"Anisakis pegreffii",4,"adult",5,2.4,0.24,"adult",4
"Anisakis simplex",1,"1larv",9,2.88888888888889,2.15432098765432,"larva",4
"Anisakis simplex",2,"2larv",79,4.40421052631579,0.958017359187442,"larva",4
"Anisakis simplex",3,"3larv",17,4.21323529411765,0.417766003460208,"larva",4
"Anisakis simplex",4,"adult",9,2.58333333333333,0.243055555555556,"adult",4
"Anomotaenia brevis",1,"1larv",1,1,NA,"larva",2
"Anomotaenia brevis",2,"adult",2,1,0,"adult",2
"Anomotaenia clavigera",1,"1larv",1,1,NA,"larva",2
"Anomotaenia clavigera",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2
"Anomotaenia constricta",1,"1larv",1,1,NA,"larva",2
"Anomotaenia constricta",2,"adult",10,2.42222222222222,0.688395061728395,"adult",2
"Anomotaenia pyriformis",1,"1larv",4,NA,NA,"larva",2
"Anomotaenia pyriformis",2,"adult",2,2,0,"adult",2
"Anomotaenia tringae",1,"1larv",2,1,0,"larva",2
"Anomotaenia tringae",2,"adult",2,1,0,"adult",2
